Journal;Nummer;Referenz;Buchungszeilen/Konto;Buchungszeilen/Kostenrechnung;Buchungszeilen/Soll;Buchungszeilen/Haben
Miscellaneous Operations;Nummer TEST;Referenz TEST;35500;;0;11188.29
;;;36000;;0;26137.66
;;;36200;;0;53330.54
;;;60000;"{""1"": 100.0}";2200;0
;;;62000;"{""1"": 100.0}";12466.37;0
;;;62100;"{""1"": 100.0}";454.54;0
;;;65000;"{""1"": 100.0}";3172.37;0
;;;66000;"{""1"": 100.0}";231.35;0
;;;66700;"{""1"": 100.0}";51.42;0
;;;66800;"{""1"": 100.0}";559.47;0
;;;66900;"{""1"": 100.0}";453.63;0
;;;60000;"{""2"": 100.0}";2285;0
;;;62000;"{""2"": 100.0}";7474.14;0
;;;62100;"{""2"": 100.0}";461.98;0
;;;65000;"{""2"": 100.0}";2059.82;0
;;;66000;"{""2"": 100.0}";156.39;0
;;;66700;"{""2"": 100.0}";33.38;0
;;;66800;"{""2"": 100.0}";363.28;0
;;;66900;"{""2"": 100.0}";306.62;0
;;;36200;"{""25"": 100.0}";0;960
;;;62000;"{""25"": 100.0}";20171.04;0
;;;63000;"{""25"": 100.0}";6000;0
;;;65000;"{""25"": 100.0}";4231.88;0
;;;66000;"{""25"": 100.0}";308.62;0
;;;66700;"{""25"": 100.0}";68.59;0
;;;66800;"{""25"": 100.0}";746.33;0
;;;66900;"{""25"": 100.0}";813.93;0
;;;68040;"{""25"": 100.0}";960;0
;;;73300;"{""25"": 100.0}";117.6;0
;;;62000;"{""3"": 100.0}";6811.34;0
;;;62100;"{""3"": 100.0}";213.23;0
;;;65000;"{""3"": 100.0}";1454.97;0
;;;66000;"{""3"": 100.0}";107.47;0
;;;66700;"{""3"": 100.0}";18.08;0
;;;66800;"{""3"": 100.0}";196.75;0
;;;66900;"{""3"": 100.0}";210.74;0
;;;36000;"{""4"": 100.0}";57.49;0
;;;60000;"{""4"": 100.0}";2120;0
;;;62000;"{""4"": 100.0}";5529.65;0
;;;62100;"{""4"": 100.0}";264.46;0
;;;65000;"{""4"": 100.0}";1740.16;0
;;;66000;"{""4"": 100.0}";126.91;0
;;;66700;"{""4"": 100.0}";26.91;0
;;;66800;"{""4"": 100.0}";292.82;0
;;;66900;"{""4"": 100.0}";237.43;0
;;;62000;"{""5"": 100.0}";4544.12;0
;;;62100;"{""5"": 100.0}";133.88;0
;;;65000;"{""5"": 100.0}";981.45;0
;;;66000;"{""5"": 100.0}";71.57;0
;;;66700;"{""5"": 100.0}";15.89;0
;;;66800;"{""5"": 100.0}";173.08;0
;;;66900;"{""5"": 100.0}";140.34;0
