Journal;Nummer;Referenz;Buchungszeilen/Konto;Buchungszeilen/Kostenrechnung;Buchungszeilen/Soll;Buchungszeilen/Haben
Miscellaneous Operations;Nummer TEST;Referenz TEST;35500;;0;12028.16
;;;36000;;0;27286.27
;;;36200;;0;56120.58
;;;60000;"{""1"": 100.0}";2200;0
;;;62000;"{""1"": 100.0}";12463.91;0
;;;62100;"{""1"": 100.0}";449;0
;;;65000;"{""1"": 100.0}";3170.69;0
;;;66000;"{""1"": 100.0}";231.23;0
;;;66700;"{""1"": 100.0}";51.38;0
;;;66800;"{""1"": 100.0}";559.18;0
;;;66900;"{""1"": 100.0}";453.39;0
;;;60000;"{""2"": 100.0}";2285;0
;;;62000;"{""2"": 100.0}";7486.12;0
;;;62100;"{""2"": 100.0}";515;0
;;;65000;"{""2"": 100.0}";2073.46;0
;;;66000;"{""2"": 100.0}";151.21;0
;;;66700;"{""2"": 100.0}";33.61;0
;;;66800;"{""2"": 100.0}";365.68;0
;;;66900;"{""2"": 100.0}";308.58;0
;;;73300;"{""2"": 100.0}";460.32;0
;;;36200;"{""25"": 100.0}";0;960
;;;62000;"{""25"": 100.0}";20171.04;0
;;;63000;"{""25"": 100.0}";6000;0
;;;65000;"{""25"": 100.0}";4231.88;0
;;;66000;"{""25"": 100.0}";308.62;0
;;;66700;"{""25"": 100.0}";68.59;0
;;;66800;"{""25"": 100.0}";746.33;0
;;;66900;"{""25"": 100.0}";813.93;0
;;;68040;"{""25"": 100.0}";960;0
;;;73300;"{""25"": 100.0}";126;0
;;;62000;"{""3"": 100.0}";6817.57;0
;;;62100;"{""3"": 100.0}";242;0
;;;65000;"{""3"": 100.0}";1481.09;0
;;;66000;"{""3"": 100.0}";108.01;0
;;;66700;"{""3"": 100.0}";24;0
;;;66800;"{""3"": 100.0}";261.21;0
;;;66900;"{""3"": 100.0}";211.79;0
;;;60000;"{""4"": 100.0}";2120;0
;;;62000;"{""4"": 100.0}";8151.46;0
;;;62001;"{""4"": 100.0}";421.04;0
;;;62100;"{""4"": 100.0}";552.34;0
;;;65000;"{""4"": 100.0}";2277.29;0
;;;66000;"{""4"": 100.0}";166.23;0
;;;66700;"{""4"": 100.0}";38.23;0
;;;66800;"{""4"": 100.0}";416.06;0
;;;66900;"{""4"": 100.0}";337.35;0
;;;62000;"{""5"": 100.0}";4548;0
;;;62100;"{""5"": 100.0}";151;0
;;;65000;"{""5"": 100.0}";985.85;0
;;;66000;"{""5"": 100.0}";69.56;0
;;;66700;"{""5"": 100.0}";15.97;0
;;;66800;"{""5"": 100.0}";173.84;0
;;;66900;"{""5"": 100.0}";140.97;0
