Journal;Nummer;Referenz;Buchungszeilen/Konto;Buchungszeilen/Kostenrechnung;Buchungszeilen/Soll;Buchungszeilen/Haben
Miscellaneous Operations;Nummer TEST;Referenz TEST;35500;;0;11596.57
;;;36000;;0;26539.24
;;;36200;;0;54057.03
;;;60000;"{""1"": 100.0}";2200;0
;;;62000;"{""1"": 100.0}";12284.93;0
;;;62100;"{""1"": 100.0}";688.43;0
;;;65000;"{""1"": 100.0}";3183.38;0
;;;66000;"{""1"": 100.0}";232.15;0
;;;66700;"{""1"": 100.0}";51.59;0
;;;66800;"{""1"": 100.0}";561.41;0
;;;66900;"{""1"": 100.0}";455.2;0
;;;60000;"{""2"": 100.0}";2285;0
;;;62000;"{""2"": 100.0}";7498.96;0
;;;62100;"{""2"": 100.0}";580.16;0
;;;65000;"{""2"": 100.0}";2089.83;0
;;;66000;"{""2"": 100.0}";158.58;0
;;;66700;"{""2"": 100.0}";33.86;0
;;;66800;"{""2"": 100.0}";368.56;0
;;;66900;"{""2"": 100.0}";310.92;0
;;;36200;"{""25"": 100.0}";0;960
;;;62000;"{""25"": 100.0}";20171.04;0
;;;62100;"{""25"": 100.0}";330.24;0
;;;63000;"{""25"": 100.0}";6000;0
;;;65000;"{""25"": 100.0}";4301.17;0
;;;66000;"{""25"": 100.0}";313.67;0
;;;66700;"{""25"": 100.0}";69.71;0
;;;66800;"{""25"": 100.0}";758.55;0
;;;66900;"{""25"": 100.0}";823.84;0
;;;68040;"{""25"": 100.0}";960;0
;;;73300;"{""25"": 100.0}";126;0
;;;62000;"{""3"": 100.0}";6820.02;0
;;;62100;"{""3"": 100.0}";392.25;0
;;;65000;"{""3"": 100.0}";1493.99;0
;;;66000;"{""3"": 100.0}";110.35;0
;;;66700;"{""3"": 100.0}";18.6;0
;;;66800;"{""3"": 100.0}";202.44;0
;;;66900;"{""3"": 100.0}";216.37;0
;;;60000;"{""4"": 100.0}";2120;0
;;;62000;"{""4"": 100.0}";5570.43;0
;;;62100;"{""4"": 100.0}";809.48;0
;;;65000;"{""4"": 100.0}";1783.29;0
;;;66000;"{""4"": 100.0}";130.05;0
;;;66700;"{""4"": 100.0}";28.9;0
;;;66800;"{""4"": 100.0}";314.5;0
;;;66900;"{""4"": 100.0}";255;0
;;;62000;"{""5"": 100.0}";4542.73;0
;;;62100;"{""5"": 100.0}";127.27;0
;;;65000;"{""5"": 100.0}";979.76;0
;;;66000;"{""5"": 100.0}";71.46;0
;;;66700;"{""5"": 100.0}";15.88;0
;;;66800;"{""5"": 100.0}";172.79;0
;;;66900;"{""5"": 100.0}";140.1;0
